"year","sex","agegrp","pop"
2014,"Female",8,155553
2014,"Female",9,172137
2014,"Female",10,158231
2014,"Female",11,159659
2014,"Female",12,142516
2014,"Female",13,127425
2014,"Female",14,112145
2014,"Female",15,81124
2014,"Female",16,58965
2014,"Female",17,44269
2014,"Female",18,50323
2015,"Male",1,162472
2015,"Male",2,167157
2015,"Male",3,155016
2015,"Male",4,155985
2015,"Male",5,172448
2015,"Male",6,171925
2015,"Male",7,167254
2015,"Male",8,152625
2015,"Male",9,166463
2015,"Male",10,154981
2015,"Male",11,154855
2015,"Male",12,141468
2015,"Male",13,126376
2015,"Male",14,116971
2015,"Male",15,84532
2015,"Male",16,57664
2015,"Male",17,36100
2015,"Male",18,30147
2015,"Female",1,154732
2015,"Female",2,157987
2015,"Female",3,146998
2015,"Female",4,149854
2015,"Female",5,167670
2015,"Female",6,171911
2015,"Female",7,169369
2015,"Female",8,156271
2015,"Female",9,170964
2015,"Female",10,161492
2015,"Female",11,160226
2015,"Female",12,146041
2015,"Female",13,129641
2015,"Female",14,116363
2015,"Female",15,85758
2015,"Female",16,61553
2015,"Female",17,44642
2015,"Female",18,51781
2016,"Male",1,162602
2016,"Male",2,169527
2016,"Male",3,157403
2016,"Male",4,156725
2016,"Male",5,172656
2016,"Male",6,173347
2016,"Male",7,168749
2016,"Male",8,154378
2016,"Male",9,163289
2016,"Male",10,159511
2016,"Male",11,153319
2016,"Male",12,144940
2016,"Male",13,127778
2016,"Male",14,120214
2016,"Male",15,89276
2016,"Male",16,60452
2016,"Male",17,37411
2016,"Male",18,31596
2016,"Female",1,154727
2016,"Female",2,160999
2016,"Female",3,149161
2016,"Female",4,150549
2016,"Female",5,168848
2016,"Female",6,174567
2016,"Female",7,172910
2016,"Female",8,158844
2016,"Female",9,167683
2016,"Female",10,167493
2016,"Female",11,159506
2016,"Female",12,150144
2016,"Female",13,132272
2016,"Female",14,120922
2016,"Female",15,90315
2016,"Female",16,64557
2016,"Female",17,45148
2016,"Female",18,53334
2017,"Male",1,162518
2017,"Male",2,170870
2017,"Male",3,162199
2017,"Male",4,159219
2017,"Male",5,173171
2017,"Male",6,176087
2017,"Male",7,171114
2017,"Male",8,158566
2017,"Male",9,160772
2017,"Male",10,164746
2017,"Male",11,152797
2017,"Male",12,148585
2017,"Male",13,129934
2017,"Male",14,120260
2017,"Male",15,96656
2017,"Male",16,63911
2017,"Male",17,39135
2017,"Male",18,32610
2017,"Female",1,153823
2017,"Female",2,162880
2017,"Female",3,153137
2017,"Female",4,151441
2017,"Female",5,169180
2017,"Female",6,177853
2017,"Female",7,176198
2017,"Female",8,163296
2017,"Female",9,165298
2017,"Female",10,172214
2017,"Female",11,159209
2017,"Female",12,154821
2017,"Female",13,135417
2017,"Female",14,122255
2017,"Female",15,97775
2017,"Female",16,67697
2017,"Female",17,46744
2017,"Female",18,53992
2018,"Male",1,161660
2018,"Male",2,172359
2018,"Male",3,168184
2018,"Male",4,159932
2018,"Male",5,172601
2018,"Male",6,178468
2018,"Male",7,172494
2018,"Male",8,164477
2018,"Male",9,158270
2018,"Male",10,168839
2018,"Male",11,153012
2018,"Male",12,151824
2018,"Male",13,132754
2018,"Male",14,121433
2018,"Male",15,103130
2018,"Male",16,66887
2018,"Male",17,41223
2018,"Male",18,33461
2018,"Female",1,153006
2018,"Female",2,164032
2018,"Female",3,157999
2018,"Female",4,152096
2018,"Female",5,169718
2018,"Female",6,180560
2018,"Female",7,178132
2018,"Female",8,170088
2018,"Female",9,163920
2018,"Female",10,175781
2018,"Female",11,159021
2018,"Female",12,158461
2018,"Female",13,139284
2018,"Female",14,124863
2018,"Female",15,104654
2018,"Female",16,70872
2018,"Female",17,48458
2018,"Female",18,54670
2019,"Male",1,160529
2019,"Male",2,173150
2019,"Male",3,173913
2019,"Male",4,161234
2019,"Male",5,173212
2019,"Male",6,180970
2019,"Male",7,174361
2019,"Male",8,169586
2019,"Male",9,157466
2019,"Male",10,171263
2019,"Male",11,154281
2019,"Male",12,154738
2019,"Male",13,136562
2019,"Male",14,122761
2019,"Male",15,107895
2019,"Male",16,71077
2019,"Male",17,43718
2019,"Male",18,34617
2019,"Female",1,151629
2019,"Female",2,164666
2019,"Female",3,162824
2019,"Female",4,153318
2019,"Female",5,169911
2019,"Female",6,182686
2019,"Female",7,180512
2019,"Female",8,175839
2019,"Female",9,164423
2019,"Female",10,177080
2019,"Female",11,160262
2019,"Female",12,161583
2019,"Female",13,143447
2019,"Female",14,127957
2019,"Female",15,110143
2019,"Female",16,74845
2019,"Female",17,50978
2019,"Female",18,55411
2020,"Male",1,158375
2020,"Male",2,173354
2020,"Male",3,178661
2020,"Male",4,161984
2020,"Male",5,171777
